activity_id,event_id,agent_sk,lead_sk,campaign_sk,date_key,event_timestamp,event_type,message_length,response_latency_hours,is_converted,created_at
28,EVT-0000028,2,51,2,20260720,2026-07-20T13:35:42.455873+00:00,INVITE_SENT,166,,0,2026-08-19 13:16:44
29,EVT-0000029,2,51,2,20260720,2026-07-20T20:32:23.552767+00:00,INVITE_ACCEPTED,0,8.25,0,2026-08-19 13:16:44
30,EVT-0000030,2,51,2,20260720,2026-07-20T22:53:36.298210+00:00,MESSAGE_SENT,300,,0,2026-08-19 13:16:44
31,EVT-0000031,2,51,2,20260721,2026-07-21T07:08:26.071503+00:00,REPLY_RECEIVED,56,1.09,1,2026-08-19 13:16:44
32,EVT-0000032,3,103,1,20260720,2026-07-20T11:15:42.455873+00:00,INVITE_SENT,208,,0,2026-08-19 13:16:44
33,EVT-0000033,3,53,3,20260720,2026-07-20T13:21:42.455873+00:00,INVITE_SENT,237,,0,2026-08-19 13:16:44
34,EVT-0000034,3,53,3,20260721,2026-07-21T04:33:58.651609+00:00,INVITE_ACCEPTED,0,16.07,0,2026-08-19 13:16:44
35,EVT-0000035,3,53,3,20260721,2026-07-21T07:40:18.031651+00:00,MESSAGE_SENT,240,,0,2026-08-19 13:16:44
36,EVT-0000036,3,23,2,20260720,2026-07-20T17:21:42.455873+00:00,INVITE_SENT,280,,0,2026-08-19 13:16:44
37,EVT-0000037,3,23,2,20260720,2026-07-20T21:34:38.371476+00:00,INVITE_ACCEPTED,0,15.54,0,2026-08-19 13:16:44
38,EVT-0000038,3,23,2,20260720,2026-07-20T23:11:44.170565+00:00,MESSAGE_SENT,225,,0,2026-08-19 13:16:44
39,EVT-0000039,3,7,1,20260720,2026-07-20T14:28:42.455873+00:00,INVITE_SENT,217,,0,2026-08-19 13:16:44
40,EVT-0000040,3,7,1,20260721,2026-07-21T01:17:09.339593+00:00,INVITE_ACCEPTED,0,15.79,0,2026-08-19 13:16:44
41,EVT-0000041,3,7,1,20260721,2026-07-21T04:48:29.589578+00:00,MESSAGE_SENT,258,,0,2026-08-19 13:16:44
42,EVT-0000042,3,21,1,20260720,2026-07-20T11:42:42.455873+00:00,INVITE_SENT,244,,0,2026-08-19 13:16:44
43,EVT-0000043,3,21,1,20260721,2026-07-21T10:59:55.207083+00:00,INVITE_ACCEPTED,0,5.37,0,2026-08-19 13:16:44
44,EVT-0000044,3,21,1,20260721,2026-07-21T12:23:52.767316+00:00,MESSAGE_SENT,220,,0,2026-08-19 13:16:44
45,EVT-0000045,3,105,2,20260720,2026-07-20T16:01:42.455873+00:00,INVITE_SENT,217,,0,2026-08-19 13:16:44
46,EVT-0000046,3,105,2,20260721,2026-07-21T03:52:59.607746+00:00,INVITE_ACCEPTED,0,5.42,0,2026-08-19 13:16:44
47,EVT-0000047,3,105,2,20260721,2026-07-21T06:06:02.278068+00:00,MESSAGE_SENT,276,,0,2026-08-19 13:16:44
48,EVT-0000048,3,111,3,20260720,2026-07-20T09:17:42.455873+00:00,INVITE_SENT,233,,0,2026-08-19 13:16:44
49,EVT-0000049,3,111,3,20260720,2026-07-20T11:19:15.292760+00:00,INVITE_ACCEPTED,0,22.11,0,2026-08-19 13:16:44
50,EVT-0000050,3,111,3,20260720,2026-07-20T14:10:24.040290+00:00,MESSAGE_SENT,332,,0,2026-08-19 13:16:44
51,EVT-0000051,3,63,1,20260720,2026-07-20T17:49:42.455873+00:00,INVITE_SENT,144,,0,2026-08-19 13:16:44
52,EVT-0000052,3,39,3,20260720,2026-07-20T13:15:42.455873+00:00,INVITE_SENT,139,,0,2026-08-19 13:16:44
53,EVT-0000053,3,84,2,20260720,2026-07-20T14:46:42.455873+00:00,INVITE_SENT,159,,0,2026-08-19 13:16:44
54,EVT-0000054,3,70,3,20260720,2026-07-20T10:28:42.455873+00:00,INVITE_SENT,155,,0,2026-08-19 13:16:44
55,EVT-0000055,3,18,3,20260720,2026-07-20T10:28:42.455873+00:00,INVITE_SENT,156,,0,2026-08-19 13:16:44
56,EVT-0000056,3,44,3,20260720,2026-07-20T13:49:42.455873+00:00,INVITE_SENT,217,,0,2026-08-19 13:16:44
57,EVT-0000057,3,44,3,20260721,2026-07-21T11:09:27.817994+00:00,INVITE_ACCEPTED,0,23.08,0,2026-08-19 13:16:44
58,EVT-0000058,3,44,3,20260721,2026-07-21T14:26:10.481777+00:00,MESSAGE_SENT,428,,0,2026-08-19 13:16:44
59,EVT-0000059,4,16,2,20260720,2026-07-20T15:33:42.455873+00:00,INVITE_SENT,155,,0,2026-08-19 13:16:44
60,EVT-0000060,4,16,2,20260720,2026-07-20T17:44:47.370229+00:00,INVITE_ACCEPTED,0,8.64,0,2026-08-19 13:16:44
61,EVT-0000061,4,16,2,20260720,2026-07-20T21:05:03.341084+00:00,MESSAGE_SENT,304,,0,2026-08-19 13:16:44
62,EVT-0000062,4,16,2,20260721,2026-07-21T10:44:24.775307+00:00,REPLY_RECEIVED,116,11.15,1,2026-08-19 13:16:44
63,EVT-0000063,4,86,3,20260720,2026-07-20T11:00:42.455873+00:00,INVITE_SENT,130,,0,2026-08-19 13:16:44
64,EVT-0000064,4,91,1,20260720,2026-07-20T09:22:42.455873+00:00,INVITE_SENT,182,,0,2026-08-19 13:16:44
65,EVT-0000065,4,85,3,20260720,2026-07-20T10:30:42.455873+00:00,INVITE_SENT,122,,0,2026-08-19 13:16:44
66,EVT-0000066,4,85,3,20260720,2026-07-20T15:13:43.065146+00:00,INVITE_ACCEPTED,0,16.43,0,2026-08-19 13:16:44
67,EVT-0000067,4,85,3,20260720,2026-07-20T18:25:26.905594+00:00,MESSAGE_SENT,326,,0,2026-08-19 13:16:44
68,EVT-0000068,4,20,1,20260720,2026-07-20T10:07:42.455873+00:00,INVITE_SENT,145,,0,2026-08-19 13:16:44
69,EVT-0000069,4,1,1,20260720,2026-07-20T09:51:42.455873+00:00,INVITE_SENT,204,,0,2026-08-19 13:16:44
70,EVT-0000070,4,88,2,20260720,2026-07-20T14:54:42.455873+00:00,INVITE_SENT,201,,0,2026-08-19 13:16:44
71,EVT-0000071,4,88,2,20260721,2026-07-21T11:40:35.108370+00:00,INVITE_ACCEPTED,0,4.53,0,2026-08-19 13:16:44
72,EVT-0000072,4,88,2,20260721,2026-07-21T14:00:42.021481+00:00,MESSAGE_SENT,421,,0,2026-08-19 13:16:44
73,EVT-0000073,4,52,3,20260720,2026-07-20T09:20:42.455873+00:00,INVITE_SENT,183,,0,2026-08-19 13:16:44
74,EVT-0000074,4,108,2,20260720,2026-07-20T15:36:42.455873+00:00,INVITE_SENT,123,,0,2026-08-19 13:16:44
75,EVT-0000075,4,52,1,20260720,2026-07-20T16:20:42.455873+00:00,INVITE_SENT,120,,0,2026-08-19 13:16:44
76,EVT-0000076,4,11,2,20260720,2026-07-20T15:00:42.455873+00:00,INVITE_SENT,137,,0,2026-08-19 13:16:44
77,EVT-0000077,4,11,2,20260721,2026-07-21T10:56:18.926222+00:00,INVITE_ACCEPTED,0,15.38,0,2026-08-19 13:16:44
78,EVT-0000078,4,11,2,20260721,2026-07-21T13:04:37.658317+00:00,MESSAGE_SENT,343,,0,2026-08-19 13:16:44
79,EVT-0000079,4,11,2,20260722,2026-07-22T04:23:23.271459+00:00,REPLY_RECEIVED,152,12.38,1,2026-08-19 13:16:44
80,EVT-0000080,4,5,1,20260720,2026-07-20T09:06:42.455873+00:00,INVITE_SENT,204,,0,2026-08-19 13:16:44
81,EVT-0000081,4,8,2,20260720,2026-07-20T14:59:42.455873+00:00,INVITE_SENT,191,,0,2026-08-19 13:16:44
82,EVT-0000082,4,82,3,20260720,2026-07-20T10:21:42.455873+00:00,INVITE_SENT,257,,0,2026-08-19 13:16:44
83,EVT-0000083,4,108,3,20260720,2026-07-20T16:40:42.455873+00:00,INVITE_SENT,171,,0,2026-08-19 13:16:44
84,EVT-0000084,4,63,3,20260720,2026-07-20T15:45:42.455873+00:00,INVITE_SENT,212,,0,2026-08-19 13:16:44
85,EVT-0000085,4,63,3,20260721,2026-07-21T07:06:00.108088+00:00,INVITE_ACCEPTED,0,5.81,0,2026-08-19 13:16:44
86,EVT-0000086,4,63,3,20260721,2026-07-21T08:58:59.491621+00:00,MESSAGE_SENT,219,,0,2026-08-19 13:16:44
87,EVT-0000087,4,81,3,20260720,2026-07-20T14:28:42.455873+00:00,INVITE_SENT,264,,0,2026-08-19 13:16:44
88,EVT-0000088,4,52,2,20260720,2026-07-20T09:47:42.455873+00:00,INVITE_SENT,157,,0,2026-08-19 13:16:44
89,EVT-0000089,4,73,2,20260720,2026-07-20T13:25:42.455873+00:00,INVITE_SENT,259,,0,2026-08-19 13:16:44
90,EVT-0000090,4,79,3,20260720,2026-07-20T10:57:42.455873+00:00,INVITE_SENT,273,,0,2026-08-19 13:16:44
91,EVT-0000091,4,82,2,20260720,2026-07-20T09:22:42.455873+00:00,INVITE_SENT,164,,0,2026-08-19 13:16:44
92,EVT-0000092,4,82,2,20260720,2026-07-20T12:01:55.508592+00:00,INVITE_ACCEPTED,0,17.75,0,2026-08-19 13:16:44
93,EVT-0000093,4,82,2,20260720,2026-07-20T15:38:22.535030+00:00,MESSAGE_SENT,421,,0,2026-08-19 13:16:44
94,EVT-0000094,4,13,3,20260720,2026-07-20T11:21:42.455873+00:00,INVITE_SENT,187,,0,2026-08-19 13:16:44
95,EVT-0000095,4,13,3,20260720,2026-07-20T20:02:21.418214+00:00,INVITE_ACCEPTED,0,11.52,0,2026-08-19 13:16:44
96,EVT-0000096,4,13,3,20260720,2026-07-20T23:36:03.688598+00:00,MESSAGE_SENT,273,,0,2026-08-19 13:16:44
97,EVT-0000097,4,112,2,20260720,2026-07-20T09:48:42.455873+00:00,INVITE_SENT,217,,0,2026-08-19 13:16:44
98,EVT-0000098,4,43,1,20260720,2026-07-20T11:02:42.455873+00:00,INVITE_SENT,165,,0,2026-08-19 13:16:44
99,EVT-0000099,5,76,3,20260720,2026-07-20T16:33:42.455873+00:00,INVITE_SENT,159,,0,2026-08-19 13:16:44
100,EVT-0000100,5,26,3,20260720,2026-07-20T10:31:42.455873+00:00,INVITE_SENT,156,,0,2026-08-19 13:16:44
101,EVT-0000101,5,5,3,20260720,2026-07-20T09:29:42.455873+00:00,INVITE_SENT,145,,0,2026-08-19 13:16:44
102,EVT-0000102,5,71,1,20260720,2026-07-20T09:08:42.455873+00:00,INVITE_SENT,228,,0,2026-08-19 13:16:44
103,EVT-0000103,5,110,1,20260720,2026-07-20T16:31:42.455873+00:00,INVITE_SENT,250,,0,2026-08-19 13:16:44
104,EVT-0000104,5,106,2,20260720,2026-07-20T12:00:42.455873+00:00,INVITE_SENT,197,,0,2026-08-19 13:16:44
105,EVT-0000105,5,28,1,20260720,2026-07-20T14:02:42.455873+00:00,INVITE_SENT,213,,0,2026-08-19 13:16:44
106,EVT-0000106,5,28,1,20260720,2026-07-20T21:04:47.926067+00:00,INVITE_ACCEPTED,0,18.22,0,2026-08-19 13:16:44
107,EVT-0000107,5,28,1,20260721,2026-07-21T00:46:55.751100+00:00,MESSAGE_SENT,202,,0,2026-08-19 13:16:44
108,EVT-0000108,5,28,1,20260721,2026-07-21T11:37:32.092694+00:00,REPLY_RECEIVED,159,13.08,1,2026-08-19 13:16:44
109,EVT-0000109,5,12,3,20260720,2026-07-20T16:44:42.455873+00:00,INVITE_SENT,236,,0,2026-08-19 13:16:44
110,EVT-0000110,5,100,1,20260720,2026-07-20T13:25:42.455873+00:00,INVITE_SENT,133,,0,2026-08-19 13:16:44
111,EVT-0000111,5,100,1,20260721,2026-07-21T02:41:59.245889+00:00,INVITE_ACCEPTED,0,4.97,0,2026-08-19 13:16:44
112,EVT-0000112,5,100,1,20260721,2026-07-21T05:41:58.427971+00:00,MESSAGE_SENT,412,,0,2026-08-19 13:16:44
113,EVT-0000113,5,110,3,20260720,2026-07-20T16:39:42.455873+00:00,INVITE_SENT,151,,0,2026-08-19 13:16:44
114,EVT-0000114,5,105,3,20260720,2026-07-20T13:51:42.455873+00:00,INVITE_SENT,165,,0,2026-08-19 13:16:44
115,EVT-0000115,5,2,3,20260720,2026-07-20T14:00:42.455873+00:00,INVITE_SENT,200,,0,2026-08-19 13:16:44
116,EVT-0000116,5,2,3,20260721,2026-07-21T12:53:45.120845+00:00,INVITE_ACCEPTED,0,19.89,0,2026-08-19 13:16:44
117,EVT-0000117,5,2,3,20260721,2026-07-21T14:32:00.840781+00:00,MESSAGE_SENT,265,,0,2026-08-19 13:16:44
118,EVT-0000118,5,3,2,20260720,2026-07-20T10:43:42.455873+00:00,INVITE_SENT,211,,0,2026-08-19 13:16:44
119,EVT-0000119,5,3,2,20260721,2026-07-21T07:52:31.668784+00:00,INVITE_ACCEPTED,0,19.16,0,2026-08-19 13:16:44
120,EVT-0000120,5,3,2,20260721,2026-07-21T09:09:20.272141+00:00,MESSAGE_SENT,341,,0,2026-08-19 13:16:44
121,EVT-0000121,5,3,2,20260721,2026-07-21T19:22:00.842182+00:00,REPLY_RECEIVED,167,8.96,1,2026-08-19 13:16:44
122,EVT-0000122,5,70,1,20260720,2026-07-20T12:37:42.455873+00:00,INVITE_SENT,270,,0,2026-08-19 13:16:44
123,EVT-0000123,5,37,3,20260720,2026-07-20T16:17:42.455873+00:00,INVITE_SENT,258,,0,2026-08-19 13:16:44
124,EVT-0000124,5,37,3,20260721,2026-07-21T02:14:20.633608+00:00,INVITE_ACCEPTED,0,13.74,0,2026-08-19 13:16:44
125,EVT-0000125,5,37,3,20260721,2026-07-21T05:51:38.404870+00:00,MESSAGE_SENT,434,,0,2026-08-19 13:16:44
126,EVT-0000126,5,28,2,20260720,2026-07-20T15:33:42.455873+00:00,INVITE_SENT,135,,0,2026-08-19 13:16:44
127,EVT-0000127,5,28,2,20260721,2026-07-21T06:56:57.991391+00:00,INVITE_ACCEPTED,0,21.5,0,2026-08-19 13:16:44
128,EVT-0000128,5,28,2,20260721,2026-07-21T10:34:03.410343+00:00,MESSAGE_SENT,247,,0,2026-08-19 13:16:44
129,EVT-0000129,5,34,1,20260720,2026-07-20T10:04:42.455873+00:00,INVITE_SENT,147,,0,2026-08-19 13:16:44
130,EVT-0000130,5,34,1,20260721,2026-07-21T05:36:06.705283+00:00,INVITE_ACCEPTED,0,20.09,0,2026-08-19 13:16:44
131,EVT-0000131,5,34,1,20260721,2026-07-21T07:18:39.906904+00:00,MESSAGE_SENT,234,,0,2026-08-19 13:16:44
132,EVT-0000132,5,103,3,20260720,2026-07-20T11:11:42.455873+00:00,INVITE_SENT,203,,0,2026-08-19 13:16:44
133,EVT-0000133,5,25,2,20260720,2026-07-20T14:08:42.455873+00:00,INVITE_SENT,268,,0,2026-08-19 13:16:44
134,EVT-0000134,5,25,2,20260721,2026-07-21T06:46:15.438240+00:00,INVITE_ACCEPTED,0,16.43,0,2026-08-19 13:16:44
135,EVT-0000135,5,25,2,20260721,2026-07-21T09:28:28.507877+00:00,MESSAGE_SENT,328,,0,2026-08-19 13:16:44
136,EVT-0000136,5,74,1,20260720,2026-07-20T10:23:42.455873+00:00,INVITE_SENT,219,,0,2026-08-19 13:16:44
137,EVT-0000137,5,85,3,20260720,2026-07-20T09:39:42.455873+00:00,INVITE_SENT,160,,0,2026-08-19 13:16:44
138,EVT-0000138,5,85,3,20260721,2026-07-21T02:29:52.006756+00:00,INVITE_ACCEPTED,0,11.5,0,2026-08-19 13:16:44
139,EVT-0000139,5,85,3,20260721,2026-07-21T06:28:37.646752+00:00,MESSAGE_SENT,370,,0,2026-08-19 13:16:44
140,EVT-0000140,5,72,3,20260720,2026-07-20T15:35:42.455873+00:00,INVITE_SENT,279,,0,2026-08-19 13:16:44
141,EVT-0000141,5,72,3,20260721,2026-07-21T09:34:50.409962+00:00,INVITE_ACCEPTED,0,19.38,0,2026-08-19 13:16:44
142,EVT-0000142,5,72,3,20260721,2026-07-21T12:45:28.391931+00:00,MESSAGE_SENT,330,,0,2026-08-19 13:16:44
143,EVT-0000143,5,74,1,20260720,2026-07-20T17:05:42.455873+00:00,INVITE_SENT,198,,0,2026-08-19 13:16:44
144,EVT-0000144,5,119,2,20260720,2026-07-20T13:23:42.455873+00:00,INVITE_SENT,202,,0,2026-08-19 13:16:44
145,EVT-0000145,5,119,2,20260721,2026-07-21T12:20:23.695417+00:00,INVITE_ACCEPTED,0,10.0,0,2026-08-19 13:16:44
146,EVT-0000146,5,119,2,20260721,2026-07-21T15:12:53.918868+00:00,MESSAGE_SENT,259,,0,2026-08-19 13:16:44
147,EVT-0000147,5,92,1,20260720,2026-07-20T11:52:42.455873+00:00,INVITE_SENT,256,,0,2026-08-19 13:16:44
148,EVT-0000148,5,102,2,20260720,2026-07-20T14:59:42.455873+00:00,INVITE_SENT,228,,0,2026-08-19 13:16:44
149,EVT-0000149,5,77,1,20260720,2026-07-20T15:39:42.455873+00:00,INVITE_SENT,265,,0,2026-08-19 13:16:44
150,EVT-0000150,5,117,2,20260720,2026-07-20T14:03:42.455873+00:00,INVITE_SENT,229,,0,2026-08-19 13:16:44
151,EVT-0000151,5,42,1,20260720,2026-07-20T17:41:42.455873+00:00,INVITE_SENT,162,,0,2026-08-19 13:16:44
152,EVT-0000152,1,8,1,20260721,2026-07-21T16:28:42.455873+00:00,INVITE_SENT,147,,0,2026-08-19 13:16:44
153,EVT-0000153,1,76,3,20260721,2026-07-21T09:00:42.455873+00:00,INVITE_SENT,209,,0,2026-08-19 13:16:44
154,EVT-0000154,1,12,1,20260721,2026-07-21T14:36:42.455873+00:00,INVITE_SENT,228,,0,2026-08-19 13:16:44
155,EVT-0000155,1,52,3,20260721,2026-07-21T12:49:42.455873+00:00,INVITE_SENT,126,,0,2026-08-19 13:16:44
156,EVT-0000156,2,38,2,20260721,2026-07-21T11:35:42.455873+00:00,INVITE_SENT,242,,0,2026-08-19 13:16:44
157,EVT-0000157,2,75,1,20260721,2026-07-21T17:21:42.455873+00:00,INVITE_SENT,164,,0,2026-08-19 13:16:44
158,EVT-0000158,2,103,3,20260721,2026-07-21T12:41:42.455873+00:00,INVITE_SENT,182,,0,2026-08-19 13:16:44
159,EVT-0000159,2,92,1,20260721,2026-07-21T16:26:42.455873+00:00,INVITE_SENT,200,,0,2026-08-19 13:16:44
160,EVT-0000160,2,102,3,20260721,2026-07-21T14:30:42.455873+00:00,INVITE_SENT,151,,0,2026-08-19 13:16:44
161,EVT-0000161,2,88,2,20260721,2026-07-21T09:25:42.455873+00:00,INVITE_SENT,235,,0,2026-08-19 13:16:44
162,EVT-0000162,2,98,2,20260721,2026-07-21T14:42:42.455873+00:00,INVITE_SENT,143,,0,2026-08-19 13:16:44
163,EVT-0000163,2,98,2,20260721,2026-07-21T17:28:23.795592+00:00,INVITE_ACCEPTED,0,19.56,0,2026-08-19 13:16:44
164,EVT-0000164,2,98,2,20260721,2026-07-21T19:14:52.709567+00:00,MESSAGE_SENT,214,,0,2026-08-19 13:16:44
165,EVT-0000165,2,98,2,20260722,2026-07-22T08:27:03.638934+00:00,REPLY_RECEIVED,73,3.89,0,2026-08-19 13:16:44
166,EVT-0000166,2,114,2,20260721,2026-07-21T15:09:42.455873+00:00,INVITE_SENT,193,,0,2026-08-19 13:16:44
167,EVT-0000167,2,114,2,20260721,2026-07-21T22:32:53.342747+00:00,INVITE_ACCEPTED,0,17.46,0,2026-08-19 13:16:44
168,EVT-0000168,2,114,2,20260722,2026-07-22T02:22:45.908469+00:00,MESSAGE_SENT,416,,0,2026-08-19 13:16:44
169,EVT-0000169,2,4,1,20260721,2026-07-21T15:44:42.455873+00:00,INVITE_SENT,205,,0,2026-08-19 13:16:44
170,EVT-0000170,2,84,2,20260721,2026-07-21T09:37:42.455873+00:00,INVITE_SENT,144,,0,2026-08-19 13:16:44
171,EVT-0000171,3,35,3,20260721,2026-07-21T14:56:42.455873+00:00,INVITE_SENT,258,,0,2026-08-19 13:16:44
172,EVT-0000172,3,5,1,20260721,2026-07-21T13:11:42.455873+00:00,INVITE_SENT,129,,0,2026-08-19 13:16:44
173,EVT-0000173,3,5,1,20260722,2026-07-22T12:05:36.348622+00:00,INVITE_ACCEPTED,0,3.75,0,2026-08-19 13:16:44
174,EVT-0000174,3,5,1,20260722,2026-07-22T15:00:31.630029+00:00,MESSAGE_SENT,336,,0,2026-08-19 13:16:44
175,EVT-0000175,3,5,1,20260722,2026-07-22T17:13:34.545329+00:00,REPLY_RECEIVED,181,2.37,1,2026-08-19 13:16:44
176,EVT-0000176,3,72,3,20260721,2026-07-21T13:33:42.455873+00:00,INVITE_SENT,261,,0,2026-08-19 13:16:44
177,EVT-0000177,3,33,3,20260721,2026-07-21T17:12:42.455873+00:00,INVITE_SENT,189,,0,2026-08-19 13:16:44
178,EVT-0000178,3,33,3,20260722,2026-07-22T12:13:56.750935+00:00,INVITE_ACCEPTED,0,4.29,0,2026-08-19 13:16:44
179,EVT-0000179,3,33,3,20260722,2026-07-22T15:31:12.497432+00:00,MESSAGE_SENT,302,,0,2026-08-19 13:16:44
180,EVT-0000180,3,33,3,20260723,2026-07-23T01:42:00.214103+00:00,REPLY_RECEIVED,174,11.53,1,2026-08-19 13:16:44
181,EVT-0000181,3,102,3,20260721,2026-07-21T09:41:42.455873+00:00,INVITE_SENT,214,,0,2026-08-19 13:16:44
182,EVT-0000182,3,102,3,20260722,2026-07-22T02:59:24.921551+00:00,INVITE_ACCEPTED,0,2.35,0,2026-08-19 13:16:44
183,EVT-0000183,3,102,3,20260722,2026-07-22T06:47:25.064273+00:00,MESSAGE_SENT,413,,0,2026-08-19 13:16:44
184,EVT-0000184,3,27,3,20260721,2026-07-21T12:42:42.455873+00:00,INVITE_SENT,260,,0,2026-08-19 13:16:44
185,EVT-0000185,3,27,3,20260722,2026-07-22T09:35:29.696081+00:00,INVITE_ACCEPTED,0,18.33,0,2026-08-19 13:16:44
186,EVT-0000186,3,27,3,20260722,2026-07-22T11:22:26.313353+00:00,MESSAGE_SENT,436,,0,2026-08-19 13:16:44
187,EVT-0000187,3,119,3,20260721,2026-07-21T15:32:42.455873+00:00,INVITE_SENT,244,,0,2026-08-19 13:16:44
188,EVT-0000188,3,114,3,20260721,2026-07-21T13:32:42.455873+00:00,INVITE_SENT,247,,0,2026-08-19 13:16:44
189,EVT-0000189,3,47,2,20260721,2026-07-21T11:50:42.455873+00:00,INVITE_SENT,251,,0,2026-08-19 13:16:44
190,EVT-0000190,3,70,3,20260721,2026-07-21T09:29:42.455873+00:00,INVITE_SENT,155,,0,2026-08-19 13:16:44
191,EVT-0000191,3,72,3,20260721,2026-07-21T12:06:42.455873+00:00,INVITE_SENT,230,,0,2026-08-19 13:16:44
192,EVT-0000192,3,72,3,20260722,2026-07-22T05:25:29.933858+00:00,INVITE_ACCEPTED,0,2.67,0,2026-08-19 13:16:44
193,EVT-0000193,3,72,3,20260722,2026-07-22T08:24:16.095939+00:00,MESSAGE_SENT,228,,0,2026-08-19 13:16:44
194,EVT-0000194,3,111,3,20260721,2026-07-21T09:34:42.455873+00:00,INVITE_SENT,152,,0,2026-08-19 13:16:44
195,EVT-0000195,3,44,2,20260721,2026-07-21T14:07:42.455873+00:00,INVITE_SENT,235,,0,2026-08-19 13:16:44
196,EVT-0000196,3,44,2,20260721,2026-07-21T23:10:38.722383+00:00,INVITE_ACCEPTED,0,3.42,0,2026-08-19 13:16:44
197,EVT-0000197,3,44,2,20260722,2026-07-22T02:20:33.604418+00:00,MESSAGE_SENT,339,,0,2026-08-19 13:16:44
198,EVT-0000198,3,44,2,20260722,2026-07-22T09:20:55.319718+00:00,REPLY_RECEIVED,79,1.22,1,2026-08-19 13:16:44
199,EVT-0000199,4,12,1,20260721,2026-07-21T17:57:42.455873+00:00,INVITE_SENT,155,,0,2026-08-19 13:16:44
200,EVT-0000200,4,7,2,20260721,2026-07-21T16:01:42.455873+00:00,INVITE_SENT,157,,0,2026-08-19 13:16:44
