audit_id,pipeline_run_id,check_timestamp,table_name,dimension,records_evaluated,records_failed,dimension_score,composite_score,passed,details
25,demo-recovery-run-2,2026-08-19T13:46:22.222789+00:00,fact_outreach_activity,REFERENTIAL_INTEGRITY,1164,0,100.0,98.97,1,{}
26,1447f1fc-2bce-40ac-aedc-8e0a45f6876c,2026-08-19T13:46:40.825204+00:00,fact_outreach_activity,COMPLETENESS,4741,0,100.0,99.72,1,"{""event_id"": 0, ""agent_id"": 0, ""lead_id"": 0, ""campaign_id"": 0, ""event_timestamp"": 0, ""event_type"": 0}"
27,1447f1fc-2bce-40ac-aedc-8e0a45f6876c,2026-08-19T13:46:40.828744+00:00,fact_outreach_activity,UNIQUENESS,4741,0,100.0,99.72,1,[]
28,1447f1fc-2bce-40ac-aedc-8e0a45f6876c,2026-08-19T13:46:40.828744+00:00,fact_outreach_activity,VALIDITY,4741,0,100.0,99.72,1,"{""invalid_event_types"": []}"
29,1447f1fc-2bce-40ac-aedc-8e0a45f6876c,2026-08-19T13:46:40.828744+00:00,fact_outreach_activity,TIMELINESS,4741,135,97.15,99.72,1,"{""future_events"": 135, ""stale_events"": 0, ""unparseable_dates"": 0}"
30,1447f1fc-2bce-40ac-aedc-8e0a45f6876c,2026-08-19T13:46:40.828744+00:00,fact_outreach_activity,REFERENTIAL_INTEGRITY,4741,0,100.0,99.72,1,{}
31,demo-bad-data-test,2026-08-19T13:54:39.483529+00:00,fact_outreach_activity,COMPLETENESS,5,2,93.33,88.33,0,"{""event_id"": 0, ""agent_id"": 0, ""lead_id"": 1, ""campaign_id"": 0, ""event_timestamp"": 1, ""event_type"": 0}"
32,demo-bad-data-test,2026-08-19T13:54:39.488256+00:00,fact_outreach_activity,UNIQUENESS,5,0,100.0,88.33,0,[]
33,demo-bad-data-test,2026-08-19T13:54:39.488256+00:00,fact_outreach_activity,VALIDITY,5,1,80.0,88.33,0,"{""invalid_event_types"": [""UNAUTHORIZED_EVENT""]}"
34,demo-bad-data-test,2026-08-19T13:54:39.488256+00:00,fact_outreach_activity,TIMELINESS,5,1,80.0,88.33,0,"{""future_events"": 0, ""stale_events"": 0, ""unparseable_dates"": 1}"
35,demo-bad-data-test,2026-08-19T13:54:39.488256+00:00,fact_outreach_activity,REFERENTIAL_INTEGRITY,5,1,80.0,88.33,0,"{""unresolved_agent_ids"": [""NON_EXISTENT_AGENT""]}"
36,b887ed43-6591-4fed-936d-ff0eaf05a35b,2026-08-19T14:06:59.694993+00:00,fact_outreach_activity,COMPLETENESS,4699,0,100.0,99.75,1,"{""event_id"": 0, ""agent_id"": 0, ""lead_id"": 0, ""campaign_id"": 0, ""event_timestamp"": 0, ""event_type"": 0}"
37,b887ed43-6591-4fed-936d-ff0eaf05a35b,2026-08-19T14:06:59.698989+00:00,fact_outreach_activity,UNIQUENESS,4699,0,100.0,99.75,1,[]
38,b887ed43-6591-4fed-936d-ff0eaf05a35b,2026-08-19T14:06:59.698989+00:00,fact_outreach_activity,VALIDITY,4699,0,100.0,99.75,1,"{""invalid_event_types"": []}"
39,b887ed43-6591-4fed-936d-ff0eaf05a35b,2026-08-19T14:06:59.698989+00:00,fact_outreach_activity,TIMELINESS,4699,117,97.51,99.75,1,"{""future_events"": 117, ""stale_events"": 0, ""unparseable_dates"": 0}"
40,b887ed43-6591-4fed-936d-ff0eaf05a35b,2026-08-19T14:06:59.698989+00:00,fact_outreach_activity,REFERENTIAL_INTEGRITY,4699,0,100.0,99.75,1,{}
