metric_id,agent_sk,date_key,invites_sent,invites_accepted,messages_sent,replies_received,acceptance_rate,reply_rate,invite_limit_utilization_pct,message_limit_utilization_pct,anomaly_score,risk_level,recommended_invite_capacity,recommended_message_capacity,updated_at
29,1,20260817,5,1,1,0,0.2,0.0,100.0,10.0,0.152,NORMAL,5,10,2026-08-19T14:07:00.584910+00:00
30,1,20260818,5,1,0,0,0.2,0.0,100.0,0.0,0.131,NORMAL,5,10,2026-08-19T14:07:00.584910+00:00
31,1,20260819,6,0,1,0,0.0,0.0,120.0,10.0,-0.734,NORMAL,5,10,2026-08-19T14:07:00.584910+00:00
32,2,20260720,8,2,2,0,0.25,0.0,80.0,13.33,-0.204,NORMAL,10,15,2026-08-19T14:07:00.584910+00:00
33,2,20260721,10,4,3,2,0.4,0.6666666666666666,100.0,20.0,0.545,NORMAL,10,15,2026-08-19T14:07:00.584910+00:00
34,2,20260722,10,1,1,1,0.1,1.0,100.0,6.67,-0.953,WARNING,7,10,2026-08-19T14:07:00.584910+00:00
35,2,20260723,9,1,2,0,0.1111111111111111,0.0,90.0,13.33,-0.898,WARNING,7,10,2026-08-19T14:07:00.584910+00:00
36,2,20260724,8,4,4,0,0.5,0.0,80.0,26.67,1.044,NORMAL,10,15,2026-08-19T14:07:00.584910+00:00
37,2,20260725,10,2,1,1,0.2,1.0,100.0,6.67,-0.454,NORMAL,10,15,2026-08-19T14:07:00.584910+00:00
38,2,20260726,9,5,6,0,0.5555555555555556,0.0,90.0,40.0,1.712,NORMAL,10,15,2026-08-19T14:07:00.584910+00:00
39,2,20260727,9,2,2,0,0.2222222222222222,0.0,90.0,13.33,-0.613,NORMAL,10,15,2026-08-19T14:07:00.584910+00:00
40,2,20260728,10,3,2,0,0.3,0.0,100.0,13.33,-0.07,NORMAL,10,15,2026-08-19T14:07:00.584910+00:00
41,2,20260729,9,3,3,0,0.3333333333333333,0.0,90.0,20.0,0.154,NORMAL,10,15,2026-08-19T14:07:00.584910+00:00
42,2,20260730,9,5,5,1,0.5555555555555556,0.2,90.0,33.33,1.794,NORMAL,10,15,2026-08-19T14:07:00.584910+00:00
43,2,20260731,8,4,5,1,0.5,0.2,80.0,33.33,0.751,NORMAL,10,15,2026-08-19T14:07:00.584910+00:00
44,2,20260801,8,2,2,1,0.25,0.5,80.0,13.33,-1.058,NORMAL,10,15,2026-08-19T14:07:00.584910+00:00
45,2,20260802,8,2,2,1,0.25,0.5,80.0,13.33,-0.79,NORMAL,10,15,2026-08-19T14:07:00.584910+00:00
46,2,20260803,10,6,6,3,0.6,0.5,100.0,40.0,1.85,NORMAL,10,15,2026-08-19T14:07:00.584910+00:00
47,2,20260804,8,2,2,1,0.25,0.5,80.0,13.33,-0.893,NORMAL,10,15,2026-08-19T14:07:00.584910+00:00
48,2,20260805,9,5,4,1,0.5555555555555556,0.25,90.0,26.67,1.14,NORMAL,10,15,2026-08-19T14:07:00.584910+00:00
49,2,20260806,10,5,5,1,0.5,0.2,100.0,33.33,0.511,NORMAL,10,15,2026-08-19T14:07:00.584910+00:00
50,2,20260807,9,1,2,1,0.1111111111111111,0.5,90.0,13.33,-2.133,CRITICAL,3,4,2026-08-19T14:07:00.584910+00:00
51,2,20260808,10,3,3,0,0.3,0.0,100.0,20.0,-0.268,NORMAL,10,15,2026-08-19T14:07:00.584910+00:00
52,2,20260809,8,3,3,0,0.375,0.0,80.0,20.0,0.197,NORMAL,10,15,2026-08-19T14:07:00.584910+00:00
53,2,20260810,10,5,5,1,0.5,0.2,100.0,33.33,0.987,NORMAL,10,15,2026-08-19T14:07:00.584910+00:00
54,2,20260811,8,1,1,1,0.125,1.0,80.0,6.67,-1.745,WARNING,7,10,2026-08-19T14:07:00.584910+00:00
55,2,20260812,9,4,4,0,0.4444444444444444,0.0,90.0,26.67,0.689,NORMAL,10,15,2026-08-19T14:07:00.584910+00:00
56,2,20260813,8,4,4,2,0.5,0.5,80.0,26.67,0.896,NORMAL,10,15,2026-08-19T14:07:00.584910+00:00
57,2,20260814,10,2,2,1,0.2,0.5,100.0,13.33,-1.191,NORMAL,10,15,2026-08-19T14:07:00.584910+00:00
58,2,20260815,10,1,1,0,0.1,0.0,100.0,6.67,-1.479,WARNING,7,10,2026-08-19T14:07:00.584910+00:00
59,2,20260816,10,2,2,0,0.2,0.0,100.0,13.33,-0.449,NORMAL,10,15,2026-08-19T14:07:00.584910+00:00
60,2,20260817,10,1,1,0,0.1,0.0,100.0,6.67,-0.997,WARNING,7,10,2026-08-19T14:07:00.584910+00:00
61,2,20260818,10,1,1,0,0.1,0.0,100.0,6.67,-0.76,WARNING,7,10,2026-08-19T14:07:00.584910+00:00
62,2,20260819,16,4,4,1,0.25,0.25,160.0,26.67,0.4,NORMAL,10,15,2026-08-19T14:07:00.584910+00:00
63,3,20260720,13,2,2,0,0.15384615384615385,0.0,86.67,8.0,-2.53,CRITICAL,4,7,2026-08-19T14:07:00.584910+00:00
64,3,20260721,13,6,5,0,0.46153846153846156,0.0,86.67,20.0,0.462,NORMAL,15,25,2026-08-19T14:07:00.584910+00:00
65,3,20260722,14,6,6,2,0.42857142857142855,0.3333333333333333,93.33,24.0,0.142,NORMAL,15,25,2026-08-19T14:07:00.584910+00:00
66,3,20260723,15,7,7,2,0.4666666666666667,0.2857142857142857,100.0,28.0,0.512,NORMAL,15,25,2026-08-19T14:07:00.584910+00:00
67,3,20260724,14,6,7,0,0.42857142857142855,0.0,93.33,28.0,0.142,NORMAL,15,25,2026-08-19T14:07:00.584910+00:00
68,3,20260725,14,4,4,1,0.2857142857142857,0.25,93.33,16.0,-1.248,NORMAL,15,25,2026-08-19T14:07:00.584910+00:00
69,3,20260726,15,9,9,0,0.6,0.0,100.0,36.0,2.099,NORMAL,15,25,2026-08-19T14:07:00.584910+00:00
70,3,20260727,13,5,5,0,0.38461538461538464,0.0,86.67,20.0,-0.384,NORMAL,15,25,2026-08-19T14:07:00.584910+00:00
71,3,20260728,13,4,4,3,0.3076923076923077,0.75,86.67,16.0,-0.938,NORMAL,15,25,2026-08-19T14:07:00.584910+00:00
72,3,20260729,14,8,7,0,0.5714285714285714,0.0,93.33,28.0,1.485,NORMAL,15,25,2026-08-19T14:07:00.584910+00:00
73,3,20260730,13,7,7,3,0.5384615384615384,0.42857142857142855,86.67,28.0,0.734,NORMAL,15,25,2026-08-19T14:07:00.584910+00:00
74,3,20260731,15,6,6,1,0.4,0.16666666666666666,100.0,24.0,-0.531,NORMAL,15,25,2026-08-19T14:07:00.584910+00:00
75,3,20260801,14,8,9,0,0.5714285714285714,0.0,93.33,36.0,1.103,NORMAL,15,25,2026-08-19T14:07:00.584910+00:00
76,3,20260802,14,4,4,3,0.2857142857142857,0.75,93.33,16.0,-1.738,WARNING,10,17,2026-08-19T14:07:00.584910+00:00
77,3,20260803,14,6,5,2,0.42857142857142855,0.4,93.33,20.0,-0.016,NORMAL,15,25,2026-08-19T14:07:00.584910+00:00
78,3,20260804,15,6,7,2,0.4,0.2857142857142857,100.0,28.0,-0.262,NORMAL,15,25,2026-08-19T14:07:00.584910+00:00
79,3,20260805,15,4,3,1,0.26666666666666666,0.3333333333333333,100.0,12.0,-1.553,WARNING,10,17,2026-08-19T14:07:00.584910+00:00
80,3,20260806,14,9,10,2,0.6428571428571429,0.2,93.33,40.0,2.286,NORMAL,15,25,2026-08-19T14:07:00.584910+00:00
81,3,20260807,13,3,3,3,0.23076923076923078,1.0,86.67,12.0,-1.392,NORMAL,15,25,2026-08-19T14:07:00.584910+00:00
82,3,20260808,15,4,4,1,0.26666666666666666,0.25,100.0,16.0,-0.75,NORMAL,15,25,2026-08-19T14:07:00.584910+00:00
83,3,20260809,13,6,5,4,0.46153846153846156,0.8,86.67,20.0,0.629,NORMAL,15,25,2026-08-19T14:07:00.584910+00:00
84,3,20260810,13,2,3,0,0.15384615384615385,0.0,86.67,12.0,-1.61,WARNING,10,17,2026-08-19T14:07:00.584910+00:00
85,3,20260811,14,3,2,1,0.21428571428571427,0.5,93.33,8.0,-0.688,NORMAL,15,25,2026-08-19T14:07:00.584910+00:00
86,3,20260812,15,6,7,2,0.4,0.2857142857142857,100.0,28.0,0.652,NORMAL,15,25,2026-08-19T14:07:00.584910+00:00
87,3,20260813,14,4,4,2,0.2857142857142857,0.5,93.33,16.0,-0.279,NORMAL,15,25,2026-08-19T14:07:00.584910+00:00
88,3,20260814,15,3,3,0,0.2,0.0,100.0,12.0,-0.933,NORMAL,15,25,2026-08-19T14:07:00.584910+00:00
89,3,20260815,15,4,4,1,0.26666666666666666,0.25,100.0,16.0,-0.165,NORMAL,15,25,2026-08-19T14:07:00.584910+00:00
90,3,20260816,13,4,3,3,0.3076923076923077,1.0,86.67,12.0,0.252,NORMAL,15,25,2026-08-19T14:07:00.584910+00:00
91,3,20260817,15,5,6,1,0.3333333333333333,0.16666666666666666,100.0,24.0,0.499,NORMAL,15,25,2026-08-19T14:07:00.584910+00:00
92,3,20260818,15,4,3,1,0.26666666666666666,0.3333333333333333,100.0,12.0,-0.401,NORMAL,15,25,2026-08-19T14:07:00.584910+00:00
93,3,20260819,30,10,9,2,0.3333333333333333,0.2222222222222222,200.0,36.0,0.584,NORMAL,15,25,2026-08-19T14:07:00.584910+00:00
94,3,20260820,0,4,6,3,0.0,0.5,0.0,24.0,-4.6,CRITICAL,4,7,2026-08-19T14:07:00.584910+00:00
95,4,20260720,24,4,4,0,0.16666666666666666,0.0,96.0,10.0,-2.285,CRITICAL,7,12,2026-08-19T14:07:00.584910+00:00
96,4,20260721,25,9,8,2,0.36,0.25,100.0,20.0,-0.405,NORMAL,25,40,2026-08-19T14:07:00.584910+00:00
97,4,20260722,23,11,11,3,0.4782608695652174,0.2727272727272727,92.0,27.5,0.744,NORMAL,25,40,2026-08-19T14:07:00.584910+00:00
98,4,20260723,23,9,9,1,0.391304347826087,0.1111111111111111,92.0,22.5,-0.101,NORMAL,25,40,2026-08-19T14:07:00.584910+00:00
99,4,20260724,24,11,12,2,0.4583333333333333,0.16666666666666666,96.0,30.0,0.551,NORMAL,25,40,2026-08-19T14:07:00.584910+00:00
100,4,20260725,25,7,7,4,0.28,0.5714285714285714,100.0,17.5,-1.183,NORMAL,25,40,2026-08-19T14:07:00.584910+00:00
101,4,20260726,24,6,5,0,0.25,0.0,96.0,12.5,-1.091,NORMAL,25,40,2026-08-19T14:07:00.584910+00:00
102,4,20260727,23,4,5,2,0.17391304347826086,0.4,92.0,12.5,-1.503,WARNING,17,28,2026-08-19T14:07:00.584910+00:00
103,4,20260728,23,11,11,2,0.4782608695652174,0.18181818181818182,92.0,27.5,1.617,NORMAL,25,40,2026-08-19T14:07:00.584910+00:00
104,4,20260729,25,7,7,3,0.28,0.42857142857142855,100.0,17.5,-0.435,NORMAL,25,40,2026-08-19T14:07:00.584910+00:00
105,4,20260730,23,9,9,1,0.391304347826087,0.1111111111111111,92.0,22.5,0.565,NORMAL,25,40,2026-08-19T14:07:00.584910+00:00
106,4,20260731,25,9,7,1,0.36,0.14285714285714285,100.0,17.5,0.174,NORMAL,25,40,2026-08-19T14:07:00.584910+00:00
107,4,20260801,25,7,8,2,0.28,0.25,100.0,20.0,-0.71,NORMAL,25,40,2026-08-19T14:07:00.584910+00:00
108,4,20260802,24,4,4,1,0.16666666666666666,0.25,96.0,10.0,-1.888,WARNING,17,28,2026-08-19T14:07:00.584910+00:00
109,4,20260803,23,13,14,1,0.5652173913043478,0.07142857142857142,92.0,35.0,2.599,NORMAL,25,40,2026-08-19T14:07:00.584910+00:00
110,4,20260804,25,11,10,3,0.44,0.3,100.0,25.0,0.512,NORMAL,25,40,2026-08-19T14:07:00.584910+00:00
111,4,20260805,25,7,7,2,0.28,0.2857142857142857,100.0,17.5,-0.689,NORMAL,25,40,2026-08-19T14:07:00.584910+00:00
112,4,20260806,25,13,13,4,0.52,0.3076923076923077,100.0,32.5,1.255,NORMAL,25,40,2026-08-19T14:07:00.584910+00:00
113,4,20260807,23,9,10,1,0.391304347826087,0.1,92.0,25.0,-0.031,NORMAL,25,40,2026-08-19T14:07:00.584910+00:00
114,4,20260808,24,13,11,5,0.5416666666666666,0.45454545454545453,96.0,27.5,1.228,NORMAL,25,40,2026-08-19T14:07:00.584910+00:00
115,4,20260809,23,8,10,5,0.34782608695652173,0.5,92.0,25.0,-0.672,NORMAL,25,40,2026-08-19T14:07:00.584910+00:00
116,4,20260810,25,14,13,1,0.56,0.07692307692307693,100.0,32.5,1.304,NORMAL,25,40,2026-08-19T14:07:00.584910+00:00
117,4,20260811,23,10,9,4,0.43478260869565216,0.4444444444444444,92.0,22.5,-0.108,NORMAL,25,40,2026-08-19T14:07:00.584910+00:00
118,4,20260812,23,10,12,4,0.43478260869565216,0.3333333333333333,92.0,30.0,-0.094,NORMAL,25,40,2026-08-19T14:07:00.584910+00:00
119,4,20260813,25,11,10,1,0.44,0.1,100.0,25.0,-0.024,NORMAL,25,40,2026-08-19T14:07:00.584910+00:00
120,4,20260814,24,9,10,4,0.375,0.4,96.0,25.0,-0.843,NORMAL,25,40,2026-08-19T14:07:00.584910+00:00
121,4,20260815,24,3,3,1,0.125,0.3333333333333333,96.0,7.5,-3.987,CRITICAL,7,12,2026-08-19T14:07:00.584910+00:00
122,4,20260816,24,14,13,0,0.5833333333333334,0.0,96.0,32.5,1.509,NORMAL,25,40,2026-08-19T14:07:00.584910+00:00
123,4,20260817,24,7,8,2,0.2916666666666667,0.25,96.0,20.0,-0.675,NORMAL,25,40,2026-08-19T14:07:00.584910+00:00
124,4,20260818,23,10,9,2,0.43478260869565216,0.2222222222222222,92.0,22.5,0.349,NORMAL,25,40,2026-08-19T14:07:00.584910+00:00
125,4,20260819,46,14,11,0,0.30434782608695654,0.0,184.0,27.5,-0.632,NORMAL,25,40,2026-08-19T14:07:00.584910+00:00
126,4,20260820,0,11,15,6,0.0,0.4,0.0,37.5,-2.887,CRITICAL,7,12,2026-08-19T14:07:00.584910+00:00
127,5,20260720,29,1,0,0,0.034482758620689655,0.0,96.67,0.0,-1.913,WARNING,21,42,2026-08-19T14:07:00.584910+00:00
128,5,20260721,28,12,11,2,0.42857142857142855,0.18181818181818182,93.33,18.33,-0.206,NORMAL,30,60,2026-08-19T14:07:00.584910+00:00
129,5,20260722,29,13,14,3,0.4482758620689655,0.21428571428571427,96.67,23.33,-0.121,NORMAL,30,60,2026-08-19T14:07:00.584910+00:00
130,5,20260723,28,11,10,5,0.39285714285714285,0.5,93.33,16.67,-0.361,NORMAL,30,60,2026-08-19T14:07:00.584910+00:00
131,5,20260724,28,20,21,8,0.7142857142857143,0.38095238095238093,93.33,35.0,1.031,NORMAL,30,60,2026-08-19T14:07:00.584910+00:00
132,5,20260725,29,15,15,3,0.5172413793103449,0.2,96.67,25.0,0.178,NORMAL,30,60,2026-08-19T14:07:00.584910+00:00
133,5,20260726,28,14,14,3,0.5,0.21428571428571427,93.33,23.33,0.059,NORMAL,30,60,2026-08-19T14:07:00.584910+00:00
134,5,20260727,28,11,11,6,0.39285714285714285,0.5454545454545454,93.33,18.33,-0.623,NORMAL,30,60,2026-08-19T14:07:00.584910+00:00
135,5,20260728,29,7,6,2,0.2413793103448276,0.3333333333333333,96.67,10.0,-1.562,WARNING,21,42,2026-08-19T14:07:00.584910+00:00
136,5,20260729,29,16,15,4,0.5517241379310345,0.26666666666666666,96.67,25.0,0.907,NORMAL,30,60,2026-08-19T14:07:00.584910+00:00
137,5,20260730,28,16,18,5,0.5714285714285714,0.2777777777777778,93.33,30.0,0.821,NORMAL,30,60,2026-08-19T14:07:00.584910+00:00
138,5,20260731,28,12,11,2,0.42857142857142855,0.18181818181818182,93.33,18.33,-0.327,NORMAL,30,60,2026-08-19T14:07:00.584910+00:00
139,5,20260801,29,3,5,1,0.10344827586206896,0.2,96.67,8.33,-2.806,CRITICAL,9,18,2026-08-19T14:07:00.584910+00:00
140,5,20260802,29,6,5,3,0.20689655172413793,0.6,96.67,8.33,-0.81,NORMAL,30,60,2026-08-19T14:07:00.584910+00:00
141,5,20260803,29,9,6,4,0.3103448275862069,0.6666666666666666,96.67,10.0,-0.102,NORMAL,30,60,2026-08-19T14:07:00.584910+00:00
142,5,20260804,28,17,18,7,0.6071428571428571,0.3888888888888889,93.33,30.0,1.699,NORMAL,30,60,2026-08-19T14:07:00.584910+00:00
143,5,20260805,28,6,9,4,0.21428571428571427,0.4444444444444444,93.33,15.0,-0.931,NORMAL,30,60,2026-08-19T14:07:00.584910+00:00
144,5,20260806,30,14,12,1,0.4666666666666667,0.08333333333333333,100.0,20.0,0.614,NORMAL,30,60,2026-08-19T14:07:00.584910+00:00
145,5,20260807,30,9,10,7,0.3,0.7,100.0,16.67,-0.461,NORMAL,30,60,2026-08-19T14:07:00.584910+00:00
146,5,20260808,28,11,11,1,0.39285714285714285,0.09090909090909091,93.33,18.33,0.216,NORMAL,30,60,2026-08-19T14:07:00.584910+00:00
147,5,20260809,29,3,4,0,0.10344827586206896,0.0,96.67,6.67,-1.972,WARNING,21,42,2026-08-19T14:07:00.584910+00:00
148,5,20260810,30,18,16,0,0.6,0.0,100.0,26.67,1.757,NORMAL,30,60,2026-08-19T14:07:00.584910+00:00
149,5,20260811,30,10,12,6,0.3333333333333333,0.5,100.0,20.0,-0.212,NORMAL,30,60,2026-08-19T14:07:00.584910+00:00
150,5,20260812,29,19,17,3,0.6551724137931034,0.17647058823529413,96.67,28.33,1.639,NORMAL,30,60,2026-08-19T14:07:00.584910+00:00
151,5,20260813,28,12,12,4,0.42857142857142855,0.3333333333333333,93.33,20.0,-0.047,NORMAL,30,60,2026-08-19T14:07:00.584910+00:00
152,5,20260814,30,12,12,6,0.4,0.5,100.0,20.0,-0.202,NORMAL,30,60,2026-08-19T14:07:00.584910+00:00
153,5,20260815,29,11,10,3,0.3793103448275862,0.3,96.67,16.67,-0.308,NORMAL,30,60,2026-08-19T14:07:00.584910+00:00
154,5,20260816,28,9,10,1,0.32142857142857145,0.1,93.33,16.67,-0.691,NORMAL,30,60,2026-08-19T14:07:00.584910+00:00
155,5,20260817,30,11,9,1,0.36666666666666664,0.1111111111111111,100.0,15.0,-0.199,NORMAL,30,60,2026-08-19T14:07:00.584910+00:00
156,5,20260818,30,10,14,4,0.3333333333333333,0.2857142857142857,100.0,23.33,-0.477,NORMAL,30,60,2026-08-19T14:07:00.584910+00:00
157,5,20260819,57,17,15,2,0.2982456140350877,0.13333333333333333,190.0,25.0,-0.76,NORMAL,30,60,2026-08-19T14:07:00.584910+00:00
158,5,20260820,0,14,16,6,0.0,0.375,0.0,26.67,-3.879,CRITICAL,9,18,2026-08-19T14:07:00.584910+00:00
159,5,20260821,0,0,0,1,0.0,0.0,0.0,0.0,-1.447,WARNING,21,42,2026-08-19T14:07:00.584910+00:00
222,2,20260820,0,1,1,0,0.0,0.0,0.0,6.67,-1.559,WARNING,7,10,2026-08-19T14:07:00.584910+00:00
287,4,20260821,0,0,0,1,0.0,0.0,0.0,0.0,-1.35,WARNING,17,28,2026-08-19T14:07:00.584910+00:00
